date,section,source_type,claim,reality,source_name,source_url,flight_ref,status
Jun–Sep 2024,Epstein Files,TV / Podcast,Trump promises on Fox News and Lex Fridman's podcast to release the Epstein files if elected.,Filed under commitments. Became the basis of congressional pressure after election.,Fox News / Lex Fridman Podcast,https://www.foxnews.com,,
Feb 21 2025,Epstein Files,TV Interview,AG Pam Bondi tells Fox News the Epstein client list is 'sitting on my desk right now to review.',DOJ later stated no such list existed. Triggered congressional push for the EFTA.,Fox News w/ John Roberts,https://www.foxnews.com,,
Feb 27 2025,Epstein Files,DOJ Release,DOJ drops flight logs and a contact book that is mostly redacted. White House hands binders labelled 'Epstein Files: Phase 1 — Declassified' to conservative influencers.,Much of the release was already public. Key names heavily redacted.,DOJ release / Rep. Luna statement,https://www.justice.gov,https://imanebayoub.github.io/Epstein-Flight-Explorer/,
Apr 25 2025,Epstein Files,News,"Giuffre, Epstein's most prominent survivor-accuser, dies by suicide in Australia.",Her FBI 302 interview records remain among those not released as of April 2026.,AP / BBC,https://apnews.com,,
Jul 7 2025,Epstein Files,DOJ Memo,"DOJ declares the client list does not exist, no blackmail evidence found, death was suicide. Same day: DOJ fires Maurene Comey — the prosecutor who actually put Epstein behind bars.","Directly contradicted by EFTA02857524 — a 205-page prosecution memo recommending 60-count indictment, withheld from the initial release.",DOJ memo Jul 7 2025,https://www.justice.gov,,
Jul 11–16 2025,Epstein Files,Truth Social,Trump: Epstein is 'somebody nobody cares about' (Jul 12) and the files are 'a big hoax' (Jul 16).,"The EFTA passed 427–1 weeks later, indicating 427 members of Congress disagreed.",Truth Social Jul 12 & 16 2025,https://truthsocial.com,,
Jul 17 2025,Epstein Files,Investigative Report,"WSJ reports Epstein's 2003 birthday book contains a letter in Trump's name — text framed by a hand-drawn naked woman, signed 'Donald.'",White House called it 'nonexistent.' Epstein's estate later produced the book to a congressional subpoena — matching WSJ's reporting in every detail.,Wall Street Journal (Safdar & Palazzolo),https://www.wsj.com,,
Jul 23 2025,Epstein Files,Investigative Report,WSJ reports Bondi told Trump in May his name is 'among many' in the files. Trump denies it.,A federal judge also denies grand jury release the same day.,Wall Street Journal,https://www.wsj.com,,
Aug–Sep 2025,Epstein Files,DOJ Release,Maxwell interview released — she says Trump and Epstein were 'friendly in social settings.' Rep. Massie files discharge petition.,Administration calls it 'not credible.' Discharge petition ultimately forces the EFTA.,DOJ Maxwell release / CBS Sep 2 2025,https://www.cbsnews.com,,
Nov 12–19 2025,Epstein Files,Legislation,"Epstein Files Transparency Act passes 427–1. Trump signs it, then posts calling it 'a Hoax' on Truth Social.",30-day statutory clock begins. Dec 19 deadline set.,Wikipedia / EFTA / Truth Social,https://truthsocial.com,,
Dec 19 2025,Epstein Files,DOJ Release,DOJ releases partial batch — 500+ pages entirely blacked out. Sixteen files vanish from the webpage within 24 hrs.,Faulty PDF redactions allow public to read some names. Missed the statutory deadline.,DOJ release / PBS NewsHour,https://www.justice.gov,,
Jan 30 2026,Epstein Files,DOJ Release,"DOJ releases 3M+ pages, 2,000 videos, 180,000 images. Declares it 'final.'",NPR later finds DOJ removed FBI records related to Trump accusations. A 6th release on Mar 5 backfills prosecution memos initially withheld as 'privileged.',DOJ release / CNN (Paula Reid),https://www.cnn.com,https://imanebayoub.github.io/Epstein-Flight-Explorer/,
Feb–Mar 2026,Epstein Files,Investigation,NPR finds DOJ removed FBI records related to Trump accusations. 6th release on Mar 5 backfills prosecution memos withheld as 'privileged.',Only ~2% of total Epstein data released under Bondi's tenure. Bondi fired Apr 2 2026.,NPR investigation Feb 24 2026,https://www.npr.org,,
Oct 28 2002,Epstein Files,Print Interview,"Trump tells New York Magazine: 'I've known Jeff for fifteen years. Terrific guy... he likes beautiful women as much as I do, and many of them are on the younger side.'","Open, on-record praise at the time of print. Flight logs and photographs place Trump and Epstein together repeatedly at Mar-a-Lago and on Epstein's jet throughout the 1990s.",New York Magazine / Time Magazine,https://nymag.com,https://imanebayoub.github.io/Epstein-Flight-Explorer/,
Jul 7 2019,Epstein Files,Reuters Interview,'I had a falling out with him a long time ago. I don't think I've spoken to him for 15 years. I wasn't a fan.',Directly contradicts the 2002 'terrific guy' endorsement. Flight logs show joint travel as recently as 1997. Michael Wolff's 2017 audio captures Epstein describing Trump as 'my closest friend for 10 years.',Reuters,https://www.reuters.com,https://imanebayoub.github.io/Epstein-Flight-Explorer/,
Jan 2024,Epstein Files,Truth Social,'I'd never been on Epstein's plane.',DOJ-released flight logs (December 2025) show Trump flew on Epstein's plane at least eight times between 1993 and 1996.,Truth Social / AS USA,https://truthsocial.com,https://imanebayoub.github.io/Epstein-Flight-Explorer/,
Nov 13 2025,Epstein Files,Truth Social,Called the Epstein issue a 'Jeffrey Epstein Hoax' and a deflection tactic by Democrats.,EFTA passed 427-1 five days later. The Epstein Files Transparency Act received near-unanimous bipartisan support.,Truth Social / Indian Express,https://truthsocial.com,,
Nov 15 2025,Epstein Files,Air Force One,"'I know nothing about that' regarding Epstein emails. Called it a 'Democrat Hoax.' Snapped at reporter: 'Quiet, piggy.'",WSJ had already reported in July 2025 that Bondi had privately told Trump his name appeared in the files.,Air Force One pool / KSN,https://www.wsj.com,,
Dec 23 2025,Epstein Files,DOJ Release,DOJ releases files showing Trump flew on Epstein's plane at least eight times between 1993 and 1996.,Directly contradicts Trump's January 2024 Truth Social claim: 'I'd never been on Epstein's plane.',DOJ Files / The Hindu,https://www.justice.gov,https://imanebayoub.github.io/Epstein-Flight-Explorer/,
Dec 26 2025,Epstein Files,Truth Social,Christmas message calling others 'Sleazebags who loved Jeffrey Epstein' but insisting 'I was actually the only one who did drop Epstein... long before it became fashionable.',Flight logs show at least 8 shared flights 1993–1996. Wolff audio: Epstein calls Trump 'my closest friend for 10 years' in 2017.,Truth Social / AA.com.tr,https://truthsocial.com,https://imanebayoub.github.io/Epstein-Flight-Explorer/,
Feb 16 2026,Epstein Files,Press Conference,'I have nothing to hide. I've been exonerated. I have nothing to do with Jeffrey Epstein.',"FBI 302 records show Trump called Palm Beach Police Chief Reiter in July 2006 saying 'thank goodness you're stopping him.' EFTA01656152 lists Trump in FBI Prominent Names briefing alongside Dershowitz, Wexner, and others.",Press Conference / DOJ EFTA,https://www.justice.gov,,
Jan 31 2026,Epstein Files,Media / Legal,Trump threatens to sue journalist Michael Wolff after release of audio tapes where Epstein claims: 'I was Donald's closest friend for 10 years.',Trump campaign calls it a 'false smear.' Audio submitted as congressional exhibit HHRG-119-JU08-20250227-SD006.,House Judiciary Exhibit / Wikipedia,https://judiciary.house.gov,,
Apr 2 2026,Epstein Files,News,Pam Bondi fired. Multiple sources confirm Epstein files handling was the primary cause.,White House chief of staff Susie Wiles had acknowledged Bondi 'completely whiffed' on the Epstein files. Only ~2% of total Epstein data released under her tenure. House Oversight subpoena for Bondi testimony remains outstanding.,CNN / CBS News / NPR,https://www.cnn.com,,
Jun 24 2025,Iran,Truth Social,THE NUCLEAR SITES IN IRAN ARE COMPLETELY DESTROYED!,Directly contradicted by Feb 27 2026 press conference: Iran 'just can't quite get there' on renouncing nuclear weapons.,Truth Social,https://truthsocial.com,,
Jun 30 2025,Iran,Fox News Interview,'They were close to getting a nuclear bomb. Absolutely.',"Contradicts the June 24 claim that sites were 'completely destroyed' — if so, proximity to a bomb is moot.",AP News,https://apnews.com,,
Jan 2–16 2026,Iran,Truth Social / Statements,"Threatened military action against Iran for killing protesters, then said killings stopped.","Contradicted by reports showing death toll exceeding 7,000.",AP News / Congressional Research Service,https://apnews.com,,
Feb 24 2026,Iran,State of the Union,Cited Iran's nuclear capability as justification for military action.,Contradicts Trump's own prior statement that Iran's nuclear program was 'obliterated' after June 2025 strikes. Also contradicts US intelligence assessments.,Wikipedia / PBS NewsHour,https://www.pbs.org/newshour,,
Feb 28 2026,Iran,Truth Social / White House Video,8-minute Truth Social video announcing Operation Epic Fury.,No congressional authorisation sought. War powers question raised immediately by members of both parties.,PBS NewsHour,https://www.pbs.org/newshour,,
Mar 1 2026,Iran,Speech,"'Four to five weeks, but we have capability to do it in a day.'",War entered week 8+ with no resolution. Four-to-five week claim abandoned without acknowledgement.,PBS NewsHour / PolitiFact,https://www.politifact.com,,
Mar 7 2026,Iran,Air Force One / Truth Social,'It's over. As far as I'm concerned the war is over militarily.',Iran was simultaneously attacking US bases and allies. War continued 7+ weeks after this statement.,PBS NewsHour / PolitiFact,https://www.politifact.com,,
Mar 9 2026,Iran,Press Conference (Doral FL),War 'very complete.' Duration would be 'as long as it's necessary' / 'I feel it in my bones.',War was far from complete. Duration claim contradicted all prior estimates of four to five weeks.,PBS NewsHour / PolitiFact,https://www.politifact.com,,
Mar 13 2026,Iran,Press Conference,'It'll be as long as it's necessary' and over 'when I feel it in my bones.',Abandons the firm 4–5 week timeline entirely with no acknowledgement.,PolitiFact / The Guardian,https://www.politifact.com,,
Mar 14 2026,Iran,Truth Social,'Iran is totally defeated and wants a deal — But not a deal that I would accept!',War continued for weeks after. Iran denied wanting any deal on these terms.,Truth Social / Kurdistan24,https://truthsocial.com,,
Mar 15 2026,Iran,Truth Social / Air Force One,"Accused Iran of using AI to spread disinformation, claiming 'kamikaze boats' don't exist and a rally was 'totally AI generated.'",Reuters verified real boats and real crowds.,Truth Social / The Hindu / Reuters,https://www.reuters.com,,
Mar 20 2026,Iran,Press Conference / Truth Social,'We've won militarily.' Rejected Pope Leo XIV's ceasefire call: 'you don't do a ceasefire when you're literally obliterating the other side.',Iran continued missile and drone strikes. Strait remained closed. Hezbollah resumed hostilities in Lebanon.,PBS NewsHour / PolitiFact,https://www.politifact.com,,
Mar 21 2026,Iran,Truth Social,Ultimatum: open the Strait of Hormuz or face strikes on power plants.,Iran did not open the strait. Power plants were not immediately struck. Trump extended the deadline twice.,Congressional Research Service,https://www.congress.gov,,
Mar 23 2026 07:05 ET,Iran,Truth Social,Five-day pause on Iranian infrastructure strikes announced — 'productive talks.',Iranian official: 'no direct contact with Trump not even through intermediaries.' Iran called Trump 'deceitful.' No deal reached.,New Republic,https://newrepublic.com,,
Apr 1 2026,Iran,Truth Social / White House Address,'Iran's New Regime President has just asked the United States for a CEASEFIRE!' Also: 'Regime change was not our goal.',Iran immediately called the ceasefire claim 'false and baseless.' Directly contradicts Feb 13 statement: regime change 'seems like the best thing that could happen.',Truth Social / AP News,https://apnews.com,,
Apr 6 2026,Iran,Press Conference / WSJ Interview,'Total destruction' threat. Also: 'negotiations going fine' with Iran 'negotiating in good faith.' Attributed war partly to Greenland tensions.,Greenland attribution contradicts all other stated justifications. EC President Costa: escalation will not achieve ceasefire.,Axios / CBS News,https://www.cbsnews.com,,
Apr 7 2026,Iran,Truth Social,Most extreme statement — genocide-adjacent threat against Iran.,MTG called for 25th Amendment. House Minority Leader Jeffries: 'completely unhinged.' Ceasefire announced 90 minutes before deadline.,Al Jazeera,https://www.aljazeera.com,,
Apr 7 2026,Iran,Truth Social,Ceasefire announced — 'A big day for World Peace!',Strait remained closed. Iran attacked three ships in the Strait during the ceasefire. Trump later threatened to knock out all power plants and bridges.,NBC News,https://www.nbcnews.com,,
Apr 16 2026,Iran,Turning Point USA Rally,'Iran has fully and completely opened the Strait of Hormuz.',Iran had NOT fully opened the strait. Naval blockade remained. Trump immediately contradicted himself by saying blockade would remain 'until a deal is fully signed.',PBS NewsHour / PolitiFact,https://www.politifact.com,,
Apr 18 2026,Iran,Truth Social / Phone Calls,Told CBS Iran 'agreed to everything.' Also told Bloomberg Iran agreed to indefinite suspension of its nuclear program.,Iranian officials outright rejected his assertions within 48 hours. Own officials anonymously told WSJ and CNN his posts were hampering peace talks.,CNN / CBS News / Bloomberg,https://www.cnn.com,,
Apr 19 2026,Iran,Truth Social,Ceasefire violation claim + new threat: 'No more Mr. Nice Guy.','No more Mr. Nice Guy' directly contradicts 'Total and complete victory' declared just 12 days earlier.,TIME,https://time.com,,
Apr 20 2026,Iran,Truth Social,'I'm not going to let them rush me' on duration. Revised timeline to open-ended.,Trump himself said 'four to five weeks' on Mar 1. No acknowledgement of the contradiction.,PBS NewsHour / PolitiFact,https://www.politifact.com,,
Apr 21 2026,Iran,CNBC Squawk Box,'Oil is at historic lows. Nobody's making money.' Expressed optimism on peace deal.,Goldman and IMF numbers directly contradict Trump's reassurance. Own officials anonymously told WSJ and CNN his Truth Social posts are hampering peace talks.,Fortune / CNBC,https://www.cnbc.com,,
Apr 23 2026,Iran,Truth Social,Claimed U.S. is in 'complete control' of Strait of Hormuz and ordered Navy to 'shoot and kill any boat' laying mines.,Issued during active ceasefire Trump himself extended 48 hours earlier. Iran ignored the order and attacked three ships.,AP / Britannica,https://apnews.com,,
Feb 13 2026,Iran,Press Conference,Regime change 'seems like that would be the best thing that could happen.',Directly contradicts Apr 1 statement: 'Regime change was not our goal.',AP News,https://apnews.com,,
Feb 27 2026,Iran,Press Conference,Iran 'just can't quite get there' on renouncing nuclear weapons.,Contradicts Jun 24 2025 claim that Iranian nuclear sites were 'completely destroyed.',AP News,https://apnews.com,,
Mar 2 2026,Iran,Press Conference,Iran had missiles that 'would soon have had missiles capable of reaching our beautiful America.',"Contradicts Jun 24 2025 'completely destroyed' claim — if destroyed, capability to threaten the US is eliminated.",AP News,https://apnews.com,,
Apr 9 2025,The Money,Market Event,Trump announced a 90-day pause on tariffs. S&P 500 jumped almost 10% — one of its largest single-day gains since WWII.,"18 minutes before the announcement, traders made large bets on the S&P 500 surging. Pattern flagged by Rep. Steven Horsford: 'That is a pattern.'",BBC / Daily Pioneer,https://www.bbc.com,,
Dec 30 2025–Jan 2 2026,The Money,Prediction Market,"Polymarket account 'Burdensome-Mix' bet $32,500 on Maduro leaving office before a US operation.","Won $436,000. Changed username immediately. Stopped betting. Pattern structurally identical to Iran ceasefire bets made weeks later.",BBC / Yahoo Finance,https://www.bbc.com,,
Feb 2026,The Money,Prediction Market,Six new Polymarket accounts bet on a US strike on Iran.,Earned ~$1.2M combined. One account earned another $163K betting on a ceasefire by April 7.,Daily Pioneer,https://www.dailypioneer.com,,
Mar 9 2026 · 47 min before,The Money,Market Event,"47 minutes before a CBS journalist tweeted about a Trump interview signaling the war was 'very complete,' large volume of oil futures bets appeared.",Oil fell ~25%. The timing gap between bet and announcement is consistent with advance knowledge of the interview.,BBC / Yahoo Finance,https://www.bbc.com,,
Mar 23 2026 · 06:49 ET,The Money,Market Event — CME,$1.5B+ in S&P 500 futures and contracts for >6 million barrels of oil traded in 2 minutes.,"16 minutes later, Trump posted halting strikes. Oil fell ~15%, stocks rose ~4%. Sen. Murphy: 'Who was it? Trump? A family member? A White House staffer? This is corruption.'",FT / Bloomberg / Hindustan Times,https://www.ft.com,,
Mar 23 2026,The Money,Platform Rule Change,Both Polymarket and Kalshi tightened insider-trading rules the same day as the futures spike.,Donald Trump Jr. is an investor and adviser to both platforms. The simultaneous rule changes on the day of the spike were not publicly explained.,Hindustan Times / CBS News,https://www.cbsnews.com,,
Apr 7 2026,The Money,Prediction Market,At least 50 new Polymarket accounts bet on a ceasefire hours before the announcement.,"CFTC, SEC, and lawmakers called for investigations. Ceasefire was announced 90 minutes before Trump's self-imposed deadline.",Gate Blog / AP,https://apnews.com,,
Apr 21 2026,The Money,Congressional Statement,"Rep. Steven Horsford: '18 minutes before last year's tariff pause... 47 minutes before the President's announcement on Iran negotiations, someone shorted the oil market by hundreds of millions of dollars. That is a pattern.'",White House had warned staff not to bet on Iran war outcomes — suggesting awareness of the problem internally.,House Press Release / BBC,https://www.bbc.com,,
Apr 24 2026,The Money,Investigation,BBC found spikes in defense and energy stock trading just before Trump's major speeches.,The White House had warned staff not to bet on Iran war outcomes. SEC enforcement chief resigned. No criminal charges as of April 2026.,BBC,https://www.bbc.com,,
Ongoing,The Money,Conflict of interest,Eric Trump and Donald Trump Jr. have invested in drone companies competing for Pentagon contracts during Operation Epic Fury.,No disclosure requirements applied. Pentagon contracts awarded without public tender process.,CBS News / Axios,https://www.cbsnews.com,,
Ongoing,The Money,Conflict of interest,Jared Kushner — Trump's son-in-law and one of his Iran envoys — is seeking to raise billions for his private equity firm Affinity Partners from Gulf states with direct interests in the Iran conflict outcome.,Kushner participated in Iran negotiations while simultaneously fundraising from parties with strategic interests in the outcome.,Reuters / Axios,https://www.reuters.com,,
May 2024,Legal Track,Criminal conviction,Trump convicted of 34 felony counts in Manhattan hush money case.,Sentenced Jan 2025 to unconditional discharge. Seeking to move to federal court; judge ruled Trump waited 'too long.' Appeal ongoing.,ABC News / Ballotpedia,https://abcnews.go.com,,Appeal pending
Nov 2024,Legal Track,Federal cases,Federal election interference (Jan 6) and classified documents cases.,Cases formally dismissed by Special Counsel Jack Smith following Trump's 2024 election victory.,Ballotpedia,https://ballotpedia.org,,Dismissed
Sep 8 2025,Legal Track,Federal appeal,Trump appeals the $83.3M defamation judgment — E. Jean Carroll.,"2nd Circuit upholds judgment in full, calling his conduct 'extraordinary and unprecedented.' Enforcement and further appeal possible.",PBS News / JURIST,https://www.pbs.org,,$83.3M upheld
Aug–Sep 2025,Legal Track,State appeal,$464M civil fraud judgment — Letitia James lawsuit.,"NY Appeals Court slashes penalty to $0, though findings of fraud remain on the record.",CBS News / NY State Court Filings,https://www.cbsnews.com,,Penalty vacated
Jul 18 2025,Legal Track,Federal civil,Trump v. Dow Jones · $20B defamation — filed day after WSJ birthday book story. Defendants include Rupert Murdoch personally.,Assigned to Judge Darrin Gayles (Obama appointee). Trump had hoped for Judge Aileen Cannon — he did not get her. Murdoch told Trump he would 'take care of it.' He did not.,CourtListener / CBS / CNBC,https://www.courtlistener.com,,Pending dismissal ruling
Jan 2026,Legal Track,Federal civil,Trump v. IRS · $10B suit over leaked tax returns.,"Judge questions whether a sitting president can sue the government. Hearing set for May 27, 2026.",Politico / ABS-CBN News,https://www.politico.com,,Hearing May 27
Apr 8 2026,Legal Track,State appeal,"Trump asks NY's top court to vacate the $500M civil fraud judgment, calling it 'political hostility.'","Original penalty slashed to $0 on earlier appeal, but fraud findings remain. New appeal seeks to erase findings.",Courthouse News,https://www.courthousenews.com,,Pending
Apr 21–29 2026,Legal Track,Federal civil,Jan. 6 civil lawsuits — immunity motion denied at discovery phase.,Judge ordered Trump to explain by Apr 29 why discovery should not proceed.,Law & Crime,https://lawandcrime.com,,Discovery phase
Apr 24 2026,Legal Track,Federal challenge,Freedom of the Press Foundation v. Trump — challenges OLC opinion declaring Presidential Records Act 'unconstitutional.',"Ongoing. If upheld, would eliminate presidential records transparency obligations.",Clearinghouse,https://clearinghouse.net,,Ongoing
Ongoing · Apr 2026,Legal Track,Multi-jurisdiction,Over 750 active lawsuits challenging executive orders and policies.,"Covers birthright citizenship, federal funding cuts, immigration enforcement, and agency eliminations.",AllAboutLawyer,https://allaboutlawyer.com,,>750 active
Jan 15 2026,Legal Track,Federal civil,"Rusk v. Trump, et al. — civil lawsuit against Trump, Marjorie Taylor Greene, and others.",Open in 9th Circuit as of April 2026.,UniCourt,https://unicourt.com,,Open · 9th Circuit
Jan 31 2026,Legal Track,Federal civil,Wolff v. Melania Trump — anti-SLAPP suit filed after Melania threatened Wolff with $1B defamation suit over Epstein audio tapes.,Procedural stage — service dispute ongoing.,Variety / Deadline / ABC,https://variety.com,,Procedural
Mar 11 2026,Legal Track,Congressional oversight,GAO opens formal investigation into Epstein files handling and DOJ release process.,Active as of April 2026. Bondi subpoena outstanding and unresolved at time of her firing.,CBS News / Newsweek,https://www.cbsnews.com,,Active
