date,time_et,platform,statement_type,quote,context,market_event,contradiction,source_title,source_outlet,source_url,source_date
2026-01-02,,Truth Social,Threat,"[Threatened military action against Iran over nuclear program]","Jan escalation of maximum pressure campaign — Trump warned Iran of serious military consequences if nuclear talks failed","","Contradicts 2025 claim that Iran's nuclear program had been 'obliterated'","CRS Report R48887 footnote 9",Congressional Research Service,https://www.congress.gov/crs_external_products/R/PDF/R48887/R48887.1.pdf,2026-03-26
2026-01-13,,Truth Social,Threat,"[Reiterated military threat to Iran]","Second Truth Social warning in January escalation phase","","","CRS Report R48887 footnote 9",Congressional Research Service,https://www.congress.gov/crs_external_products/R/PDF/R48887/R48887.1.pdf,2026-03-26
2026-02-24,,State of the Union,Justification,"Iran has restarted its nuclear program and is developing missiles capable of striking the US.","SOTU address — cited as justification for military action","","Contradicts Trump's own prior statement that Iran's nuclear program was 'obliterated' after June 2025 strikes. Contradicts US intelligence assessments — Iran would need until 2035 to develop capable missiles. NCTC director later resigned citing this.","2026 Iran war — Wikipedia",Wikipedia,https://en.wikipedia.org/wiki/2026_Iran_war,2026-04-24
2026-02-28,,Truth Social / White House video,War announcement,"A short time ago the United States military began major combat operations in Iran. Our objective is to defend the American people by eliminating imminent threats from the Iranian regime. A vicious group of very hard terrible people.","8-minute Truth Social video announcing Operation Epic Fury","S&P futures fell ~2.1% on open. Oil surged toward $120/barrel within 48hrs.","","Read Trump's full statement on Iran attacks",PBS NewsHour,https://www.pbs.org/newshour/world/read-trumps-full-statement-on-iran-attack,2026-02-28
2026-03-01,,Speech,Duration claim,"Combat operations continue at this time in full force and they will continue until all of our objectives are achieved. [To NYT: We intended four to five weeks.]","First public duration estimate given","","War entered week 8+ with no resolution. Four-to-five week claim abandoned without acknowledgement.","A timeline of Trump's shifting statements about how long the Iran war will last",PBS NewsHour / PolitiFact,https://www.pbs.org/newshour/politics/a-timeline-of-trumps-shifting-statements-about-how-long-the-iran-war-will-last,2026-04-22
2026-03-02,,White House ceremony,Progress claim,"We're already substantially ahead of our time projections. But whatever the time is it's OK.","White House ceremony","","No time projection had been publicly defined.","A timeline of Trump's shifting statements",PBS NewsHour / PolitiFact,https://www.pbs.org/newshour/politics/a-timeline-of-trumps-shifting-statements-about-how-long-the-iran-war-will-last,2026-04-22
2026-03-05,,Event speech,Victory claim,"The United States military together with the wonderful Israeli partners continues to totally demolish the enemy far ahead of schedule and at levels that people have never seen before.","Inter Miami CF White House event","","Strait of Hormuz remained closed. No schedule existed to be ahead of.","A timeline of Trump's shifting statements",PBS NewsHour / PolitiFact,https://www.pbs.org/newshour/politics/a-timeline-of-trumps-shifting-statements-about-how-long-the-iran-war-will-last,2026-04-22
2026-03-07,,Air Force One + Truth Social,Victory claim,"We're winning the war by a lot. We've decimated their whole evil empire. [Truth Social: victory already occurred. 'We don't need people that join Wars after we've already won!']","Reporters on Air Force One","","Iran was simultaneously attacking US bases and allies. War continued 7+ weeks after this statement.","A timeline of Trump's shifting statements",PBS NewsHour / PolitiFact,https://www.pbs.org/newshour/politics/a-timeline-of-trumps-shifting-statements-about-how-long-the-iran-war-will-last,2026-04-22
2026-03-09,,Press conference (Doral FL),Progress + duration,"We're achieving major strides toward completing our military objective. And some people could say they're pretty well complete. [On timeline: very soon.]","Press conference in Doral Florida. A CBS reporter shared 'very complete' quote on social media.","47 minutes after CBS reporter shared the 'very complete' quote on social media a massive surge of bets on oil prices falling hit the market. BBC confirmed pattern.","War was far from complete. Duration claim contradicted all prior estimates.","A timeline of Trump's shifting statements",PBS NewsHour / PolitiFact,https://www.pbs.org/newshour/politics/a-timeline-of-trumps-shifting-statements-about-how-long-the-iran-war-will-last,2026-04-22
2026-03-09,,Press conference (Doral FL),Market event — oil futures,"[No public statement at time of trades]","47 minutes before or after CBS reporter's social media share of 'very complete' quote","Massive surge of bets on oil price falling hit markets 47 minutes after CBS reporter shared Trump's 'very complete' quote. BBC analysis confirmed pattern across multiple military actions.","","Evidence of insider trading on Iran war grows",Salon,https://www.salon.com/2026/03/26/evidence-of-insider-trading-on-iran-war-grows/,2026-03-26
2026-03-14,,Truth Social,Progress claim,"[Unspecified Truth Social post — referenced in CRS report]","CRS Report footnote 32 references this Truth Social post","","","CRS Report R48887 footnote 32",Congressional Research Service,https://www.congress.gov/crs_external_products/R/PDF/R48887/R48887.1.pdf,2026-03-26
2026-03-20,,Press conference,Victory claim,"Oh I think we won. We've knocked out their Navy their Air Force. We've knocked out their anti-aircraft. We've knocked out everything. We're roaming free. From a military standpoint all they're doing is clogging up the strait. But from a military standpoint they're finished. We've defeated the enemy and they are an enemy.","Reporter asked what he meant saying war was militarily won. Trump also rejected Pope Leo XIV's call for ceasefire: 'you don't do a ceasefire when you're literally obliterating the other side.'","","Iran continued missile and drone strikes. Strait remained closed. Hezbollah resumed hostilities in Lebanon. Pope Leo XIV's ceasefire call rejected.","A timeline of Trump's shifting statements",PBS NewsHour / PolitiFact,https://www.pbs.org/newshour/politics/a-timeline-of-trumps-shifting-statements-about-how-long-the-iran-war-will-last,2026-04-22
2026-03-20,,Truth Social,Progress claim,"We are getting very close to meeting our objectives as we consider winding down military efforts in Iran.","Same day as press conference victory claim","","War continued for 5+ more weeks after this post.","A timeline of Trump's shifting statements",PBS NewsHour / PolitiFact,https://www.pbs.org/newshour/politics/a-timeline-of-trumps-shifting-statements-about-how-long-the-iran-war-will-last,2026-04-22
2026-03-21,,Truth Social,Threat,"If Iran didn't fully open the strait he would obliterate its power plants.","Ultimatum on Strait of Hormuz","","Iran did not open the strait. Power plants were not immediately struck.","CRS Report R48887 footnote 22",Congressional Research Service,https://www.congress.gov/crs_external_products/R/PDF/R48887/R48887.1.pdf,2026-03-26
2026-03-23,06:49 ET,Chicago Mercantile Exchange,MARKET EVENT — $580M futures spike,"[No public statement at 6:49am]","Roughly 6200 Brent and WTI futures contracts — notional value $580M — traded in 2 minutes. Five-day average for same window: 700 contracts. Trump's Truth Social post followed 16 minutes later.","$580M in oil futures contracts in 2 minutes. S&P surged ~$900B market cap after the subsequent Truth Social post. Oil fell sharply.","Sen. Chris Murphy: 'Who was it? Trump? A family member? A White House staffer? This is corruption. Mind-blowing corruption.' SEC enforcement chief resigned the following week. No investigation opened.","Traders Placed Massive Bets Minutes Before Trump Post on Iran",FT / Common Dreams / Bloomberg,https://www.commondreams.org/news/traders-bet-trump-iran,2026-03-25
2026-03-23,07:05 ET,Truth Social,Peace talks claim,"I AM PLEASED TO REPORT THAT THE UNITED STATES OF AMERICA AND THE COUNTRY OF IRAN HAVE HAD OVER THE LAST TWO DAYS VERY GOOD AND PRODUCTIVE CONVERSATIONS REGARDING A COMPLETE AND TOTAL RESOLUTION OF OUR HOSTILITIES IN THE MIDDLE EAST.","Posted 2 hours before US stock markets opened. Five-day pause on Iranian infrastructure strikes announced.","Oil fell sharply. S&P surged. Traders who bought futures at 6:49am profited.","Iranian official told Fars News Agency: 'no direct contact with Trump not even through intermediaries.' Iran called Trump 'deceitful.' No deal reached. Pause expired.","Was Trump's Big Iran Announcement Just a Ploy at Market Manipulation?",New Republic,https://newrepublic.com/post/208060/trump-iran-war-announcement-market-manipulation-oil-prices,2026-03-23
2026-03-30,07:26 ET,Truth Social,New regime claim + peace talks,"The United States of America is in serious discussions with A NEW AND MORE REASONABLE REGIME to end our Military Operations in Iran.","Posted 2 hours before markets opened. Iran's Parliament Speaker Ghalibaf had warned the previous day: 'Pre-market news is often just a setup for profit-taking. Basically it's a reverse indicator. Do the opposite: If they pump it short it. If they dump it go long.'","S&P opened significantly higher. The Kobeissi Letter: S&P added $900B in market cap. Oil fell. Iran's Parliament Speaker's prediction proved accurate.","Iran denied any new regime contact. No deal reached. Ghalibaf's 'reverse indicator' warning issued the day before proved accurate.","Trump Manipulates Markets With Early Morning Iran Announcement",New Republic,https://newrepublic.com/post/208345/trump-manipulates-markets-iran-war,2026-03-30
2026-04-01,,Truth Social + White House primetime address,Contradiction + escalation threat,"[Truth Social: Iran asked for a ceasefire.] [White House address:] We are on track to complete all of America's military objectives shortly very shortly. We're going to hit them extremely hard over the next two to three weeks — we're going to bring them back to the Stone Ages where they belong.","Primetime White House address. Duration claim #4 in 32 days.","","Iran denied requesting a ceasefire same day. 'Two to three weeks' was fourth distinct duration estimate. War continued beyond that window.","A timeline of Trump's shifting statements",PBS NewsHour / PolitiFact,https://www.pbs.org/newshour/politics/a-timeline-of-trumps-shifting-statements-about-how-long-the-iran-war-will-last,2026-04-22
2026-04-04,,Truth Social,Ultimatum reminder,"Remember when I gave Iran ten days to MAKE A DEAL or OPEN UP THE HORMUZ STRAIT.","Reminder of prior ultimatum","","","A timeline of Trump's shifting statements",PBS NewsHour / PolitiFact,https://www.pbs.org/newshour/politics/a-timeline-of-trumps-shifting-statements-about-how-long-the-iran-war-will-last,2026-04-22
2026-04-05,,Truth Social,Profanity-laden threat,"[Profanity-laden post warning Iran about the Strait of Hormuz. Included expletives and invoked Islam. Called Iranian government 'crazy bastards'.]","Hours after US forces conducted high-risk rescue mission for downed F-15E crew member. NPR: 'Trump unleashes curse-filled social media rant at Iran'","New volatility injected into markets by post per NPR.","","Trump unleashes curse-filled social media rant at Iran after U.S. rescues colonel",NPR,https://www.npr.org/2026/04/05/nx-s1-5774368/iran-war-updates,2026-04-05
2026-04-06,,White House news conference,Absurd claim,"You want to know the truth Greenland. We want Greenland. They don't want to give it to us. And I said 'Bye bye.'","End of White House news conference on Iran — Trump attributed the war partly to Greenland tensions. Also said: 'We've had numerous intercepts. Please keep bombing. Bombs that are dropping near their homes. Please keep bombing. Do it.'","","Greenland attribution for Iran war contradicts all other stated justifications (nuclear program / Strait of Hormuz).","Iran updates: Pakistan seeks 2-week pause after Trump warns 'whole civilization will die'",CNBC,https://www.cnbc.com/2026/04/07/iran-war-trump-deadline.html,2026-04-07
2026-04-07,~08:00 ET,Truth Social,Genocide-adjacent threat — most extreme statement,"A whole civilization will die tonight never to be brought back again. I don't want that to happen but it probably will. However now that we have Complete and Total Regime Change where different smarter and less radicalized minds prevail maybe something revolutionarily wonderful can happen WHO KNOWS? We will find out tonight one of the most important moments in the long and complex history of the World. 47 years of extortion corruption and death will finally end. God Bless the Great People of Iran!","Posted ~8am ET — 16 hours before Trump's self-imposed 8pm deadline for Iran to open Strait of Hormuz or face infrastructure strikes. Harvard Kennedy School Carr-Ryan Center: developed Additional Protocol I war crimes analysis.","Prediction markets: 50+ first-time Polymarket accounts had already placed heavy bets on Apr 7 ceasefire — hours before this post. One account: $72K in / $200K out. Another: $125.5K profit. Polymarket partly backed by Donald Trump Jr.","MTG called for 25th Amendment. House Minority Leader Jeffries: 'completely unhinged.' Ceasefire announced 90 minutes before deadline — Pakistan brokered.","Trump on Iran: 'A whole civilisation will die tonight'",Al Jazeera,https://www.aljazeera.com/news/2026/4/7/trump-on-iran-a-whole-civilisation-will-die-tonight,2026-04-07
2026-04-07,,Truth Social,Ceasefire announcement,"Based on conversations with Prime Minister Shehbaz Sharif and Field Marshal Asim Munir of Pakistan and wherein they requested that I hold off the destructive force being sent tonight to Iran and subject to the Islamic Republic of Iran agreeing to the COMPLETE IMMEDIATE and SAFE OPENING of the Strait of Hormuz I agree to suspend the bombing and attack of Iran for a period of two weeks.","90 minutes before 8pm self-imposed deadline. Pakistan brokered. China gave final nudge to Iran per Britannica.","","Iran's final acceptance required China's nudge per Britannica. Iran confirmed Khamenei approved.","Trump announces 2-week Iran ceasefire after he'd warned 'a whole civilization will die tonight'",NBC News,https://www.nbcnews.com/politics/white-house/trump-threat-whole-civilization-will-die-iran-war-deadline-hormuz-rcna267059,2026-04-07
2026-04-20,,Press conference / reporter Q&A,Threat,"[Reporter: What will happen if ceasefire expires April 21?] Then lots of bombs start going off.","PBS News reporter asked about ceasefire expiry","","Ceasefire extended instead. No bombs. Iran attacked three ships in Strait.","Trump tells PBS News that 'lots of bombs start going off' if Iran ceasefire expires",PBS NewsHour,https://www.pbs.org/newshour/politics/a-timeline-of-trumps-shifting-statements-about-how-long-the-iran-war-will-last,2026-04-22
2026-04-20,,Truth Social,Contradiction of own threat,"I am under no pressure whatsoever to make a deal although it will all happen relatively quickly!","Hours after telling PBS reporter bombs would start going off","","Directly contradicts 'lots of bombs' statement from hours earlier.","A timeline of Trump's shifting statements",PBS NewsHour / PolitiFact,https://www.pbs.org/newshour/politics/a-timeline-of-trumps-shifting-statements-about-how-long-the-iran-war-will-last,2026-04-22
2026-04-21,,CNBC Squawk Box,Market manipulation / false reassurance,"I was surprised. I thought it would be down much more and I thought the oil would be much higher and I'm very happy to say that it wasn't. [On oil:] If you would have told me that oil is at 90 as opposed to 200 I would be frankly surprised.","CNBC Squawk Box interview. Citadel's head of commodities: Trump's Truth Social posts have fundamentally transformed oil market behaviour with oil and gas volatility surging ~300%.","Oil and gas volatility up ~300% since conflict per Citadel. Goldman: PCE forecast +1pt to 3.1% / GDP -0.5pt to 2%. IMF: revised global 2026 growth to 3.1% naming Iran conflict as primary driver.","Goldman and IMF numbers directly contradict Trump's reassurance. Trump said he 'thought oil would be much higher' — suggesting awareness of market-moving effect of statements.","Trump's rosy Iran war spin risks sending traders the wrong message",Fortune,https://fortune.com/2026/04/21/trump-200-per-barrel-oil-iran-war-reaction-cnbc-comments/,2026-04-21
2026-04-21,,CNBC Squawk Box,Peace optimism,"I believe the US will reach a 'great deal' with Iran.","Same CNBC appearance","","Own officials anonymously told WSJ and CNN his Truth Social posts are hampering peace talks.","Trump officials whisper that his Truth Social posts about Iran risk killing peace talks",Fortune,https://fortune.com/2026/04/21/trump-iran-deal-truth-social-posts-peace-talks-warning/,2026-04-21
2026-04-23,,Press availability,Nuclear denial,"We don't need it. Why do I need it? Why would a stupid question like that be asked? Why would I use a nuclear weapon? Nobody should use them.","Asked directly whether he would use nuclear weapons in Iran","","Notable: Trump directed Pentagon to begin testing nuclear weapons Oct 30 2025 per The Hill. STRATCOM Congressional posture statement March 17 2026 reported no change to strategic deterrence posture.","WATCH: Trump says he won't use nuclear weapons in Iran",PBS NewsHour,https://www.pbs.org/newshour/politics/watch-trump-says-he-wont-use-nuclear-weapons-in-iran,2026-04-23
2026-04-23,,Executive order / order to military,Shoot-to-kill order,"Trump orders US military to 'shoot and kill' Iranian small boats choking Strait of Hormuz.","Issued during active ceasefire Trump himself extended 48hrs earlier","Iran attacked three ships in Strait on same day.","Issued during ceasefire. Iran ignored it and attacked three ships.","Trump orders US military to 'shoot and kill' Iranian small boats",AP / Britannica,https://www.britannica.com/event/2026-Iran-war,2026-04-23
2026-04-02,,Truth Social,Ultimatum escalation,"IT IS TIME FOR IRAN TO MAKE A DEAL BEFORE IT IS TOO LATE AND THERE IS NOTHING LEFT OF WHAT STILL COULD BECOME A GREAT COUNTRY!","Posted Thursday night after US struck the B1 bridge in north-central Iran — the largest bridge in the country.","","Bridge strike on Apr 3 was confirmed by US defense official as targeting 'planned military supply route for ballistic missiles.'","Trump warns Iran: 48 hours until 'all hell' rains down",The Hill,https://thehill.com/homenews/administration/5816212-trump-warns-iran-time-running-out/,2026-04-05
2026-04-04,,Truth Social,48-hour ultimatum,"Remember when I gave Iran ten days to MAKE A DEAL or OPEN UP THE HORMUZ STRAIT. Time is running out – 48 hours before all Hell will reign down on them. Glory be to GOD!","Posted Saturday after Iran shot down two US jets. Iran downed F-15E Strike Eagle — one crew member rescued; search ongoing for second.","","'Ten day' ultimatum count was not publicly specified when issued. Deadline was then extended twice.","A timeline of Trump's shifting statements",PBS NewsHour / PolitiFact,https://www.pbs.org/newshour/politics/a-timeline-of-trumps-shifting-statements-about-how-long-the-iran-war-will-last,2026-04-22
2026-04-05,,Truth Social,Profanity ultimatum / Power Plant Day,"Tuesday will be Power Plant Day and Bridge Day all wrapped up in one in Iran. There will be nothing like it!!! Open the Fuckin' Strait you crazy bastards or you'll be living in Hell – JUST WATCH! Praise be to Allah. President DONALD J. TRUMP","Easter Sunday morning. Hours after US forces rescued downed F-15E colonel from Iranian mountains. Trump added rescue mission involved 'dozens of aircraft.'","Axios: Iran accused Trump of planning war crimes. Sen. Murphy: 'Trump is calling reporters today to tell them he is going to commit mass war crimes next week.'","Targeted civilian infrastructure — power plants and bridges — constitutes potential war crimes under Additional Protocol I. International law experts and Democrats flagged this immediately.","Trump dials up Iran rhetoric with expletive-filled deadline threat",The Hill / NPR / Axios,https://thehill.com/newsletters/morning-report/5817575-trump-threatens-iran-escalation/,2026-04-05
2026-04-05,,Truth Social,Cryptic deadline post,"Tuesday 8:00 P.M. Eastern Time","Posted Sunday — did not clarify what happens at that time. Journalists and officials had to interpret it as a deadline.","","Deadline was subsequently extended. Ambiguity was deliberate or negligent — no clarification provided.","Trump dials up Iran rhetoric with expletive-filled deadline threat",The Hill,https://thehill.com/newsletters/morning-report/5817575-trump-threatens-iran-escalation/,2026-04-05
2026-04-06,,Press conference,Total destruction threat,"The entire country could be taken out in one night and it might be tomorrow night. We have a plan where every bridge in Iran will be decimated by 12 o'clock tomorrow night. Where every power plant in Iran will be out of business burning exploding and never to be used again. I mean complete demolition by 12 o'clock and it will happen over a period of four hours if we wanted to. We don't want that to happen.","White House press conference with military leadership. Same day Iranian missile struck Haifa residential building. Kuwait UAE and Saudi Arabia all activated air defenses.","","Negotiations described simultaneously as 'going fine' with Iran 'negotiating in good faith.' EC President Costa: escalation will not achieve ceasefire.","Trump Iran deadline: Blow up bridges or give talks a chance",Axios,https://www.axios.com/2026/04/07/trump-iran-deadline-bridges-power-plants,2026-04-07
2026-04-06,,Wall Street Journal interview,Infrastructure threat,"If they don't do something by Tuesday evening they won't have any power plants and they won't have any bridges standing.","Phone interview with WSJ during same press conference day","","Same day as 'negotiations going fine' statement.","Trump warns of critical period in Iran war",CBS News,https://www.cbsnews.com/live-updates/iran-war-trump-deadline-power-plants-bridges-ceasefire-push-air-force-rescue/,2026-04-06
2026-04-07,,AFP interview,Victory claim,"Total and complete victory. 100%. No question about it.","Told to AFP after ceasefire announcement. Truth Social post at 12:01am Apr 8: 'A big day for World Peace! Iran wants it to happen they've had enough!'","","Strait remained closed. Iran attacked three ships in the Strait during the ceasefire. Trump later threatened to knock out all power plants and bridges again on Apr 19.","Trump announces 2-week Iran ceasefire",NBC News,https://www.nbcnews.com/politics/white-house/trump-threat-whole-civilization-will-die-iran-war-deadline-hormuz-rcna267059,2026-04-07
2026-04-08,00:01 ET,Truth Social,Optimism post post-ceasefire,"A big day for World Peace! Iran wants it to happen they've had enough! Likewise so has everyone else! The United States of America will be helping with the traffic buildup in the Strait of Hormuz. There will be lots of positive action! Big money will be made. Iran can start the reconstruction process.","Posted at midnight after ceasefire announced","","Strait remained contested. Iran fired in it again on Apr 19. 'Big money' framing noted by multiple analysts as market-oriented language.","A timeline of Trump's shifting statements",PBS NewsHour / PolitiFact,https://www.pbs.org/newshour/politics/a-timeline-of-trumps-shifting-statements-about-how-long-the-iran-war-will-last,2026-04-22
2026-04-16,,Turning Point USA rally (Phoenix),False victory claim,"Iran has just announced that the Strait of Hormuz is fully open and ready for business and full passage.","Turning Point USA rally — naval blockade remained in force.","","Iran had NOT fully opened the strait. Trump immediately added that the naval blockade would remain until a deal was 'fully signed.' Contradiction within same statement.","A timeline of Trump's shifting statements",PBS NewsHour / PolitiFact,https://www.pbs.org/newshour/politics/a-timeline-of-trumps-shifting-statements-about-how-long-the-iran-war-will-last,2026-04-22
2026-04-18,,Truth Social + phone calls to reporters,False deal claims,"[Posted multiple times on Truth Social about the war totaling more than 900 words. Claimed Iran had agreed to hand over enriched uranium and agreed to most contentious US demands. Declared imminent end to war.]","Posting as Pakistani intermediaries were updating him on ongoing talks. Spoke to multiple reporters by phone simultaneously. Senior officials contradicted him on TV about Vance's travel plans: Trump said Vance would not go to Pakistan; two senior officials said he would. Vance went.","Iran's rejection of his claims immediately tanked market optimism.","Iranian officials outright rejected his assertions. Sources familiar with talks said provisions he described had not been agreed. 'Things changed' — White House official on Vance contradiction.","A deal to end the Iran war seemed close. Then Trump started posting on social media",CNN,https://www.cnn.com/2026/04/20/politics/social-media-posts-trump-iran-deal,2026-04-20
2026-04-19,,Truth Social,Ceasefire violation claim + new threat,"Iran decided to fire bullets yesterday in the Strait of Hormuz — A Total Violation of our Ceasefire Agreement! We're offering a very fair and reasonable DEAL and I hope they take it because if they don't the United States is going to knock out every single Power Plant and every single Bridge in Iran. NO MORE MR. NICE GUY!","Posted Sunday. US also seized Iranian cargo ship TOUSKA — Trump: 'Our Navy ship stopped them right in their tracks by blowing a hole in the engineroom.'","","Power plant and bridge threat identical to pre-ceasefire threat. 'No more Mr. Nice Guy' framing contradicts 'Total and complete victory' declaration 12 days earlier.","Trump accuses Iran of 'total violation' as Strait of Hormuz remains shut",TIME,https://time.com/article/2026/04/19/trump-accuses-iran-of-total-violation-as-strait-of-hormuz-remains-shut/,2026-04-19
2026-04-20,,Truth Social,Revisionist duration claim,"Democrats like to say that I promised 6 weeks to defeat Iran and actually from the Military standpoint it was far faster than that but I'm not going to let them rush the United States into making a Deal that is not as good as it could have been. I am under no pressure whatsoever although it will all happen relatively quickly!","Posted during ceasefire while war was in its 7th week with no deal","","Trump himself said 'four to five weeks' on Mar 1. Now revised to 'I'm not going to let them rush me.' No acknowledgement of the contradiction.","A timeline of Trump's shifting statements",PBS NewsHour / PolitiFact,https://www.pbs.org/newshour/politics/a-timeline-of-trumps-shifting-statements-about-how-long-the-iran-war-will-last,2026-04-22
2026-04-20,,Truth Social,Better than Obama deal claim,"The deal the US is working on will be 'far better' than the 2015 Iran nuclear deal negotiated under President Barack Obama.","Same day as revisionist duration claim","","Iran had not agreed to any deal. Own officials were anonymously telling WSJ and CNN his social media posts were hampering negotiations.","A timeline of Trump's shifting statements",PBS NewsHour / PolitiFact,https://www.pbs.org/newshour/politics/a-timeline-of-trumps-shifting-statements-about-how-long-the-iran-war-will-last,2026-04-22
2026-04-21,,Press availability,Ceasefire deadline confusion,"[When asked five separate times whether he would extend the ceasefire, offered three different answers: 'If there's no deal fighting resumes.' Told Bloomberg ceasefire ends 'Wednesday evening Washington time' giving an extra 24 hours. Had originally announced it expires Tuesday evening at 6:32pm ET when signed Apr 7.]","Five consecutive questions from reporters on same topic; three contradictory answers","Ceasefire deadline ambiguity created market uncertainty.","Told Bloomberg the deadline was Wednesday. Had originally announced Tuesday. Then said it was 'highly unlikely' he'd extend it further. Then extended it indefinitely.","A deal to end the Iran war seemed close. Then Trump started posting",CNN,https://www.cnn.com/2026/04/20/politics/social-media-posts-trump-iran-deal,2026-04-20
